wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0
3.0,1.0,0.0,3.0,5.0,3.0,0.0,3.0,3.0,2.0,14.0,0.0,0.0,0.0,0.5,0.0,0.0,3.666667,1.0,0.6667,0
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
6.0,1.0,0.0,2.0,6.0,15.0,2.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.916667,0.0,0.0,0.0,1.0,1.0,0
3.0,4.0,0.0,11.0,21.0,3.0,0.0,11.0,3.0,2.0,73.0,0.0,0.0,0.965517,0.833333,0.0,0.0,23.333333,3.0,1.3333,0
13.0,1.0,0.0,8.0,13.0,78.0,2.0,6.0,13.0,2.0,13.0,0.0,0.0,0.0,0.326923,0.0,0.0,0.0,1.0,1.0,0
12.0,1.0,0.0,3.0,22.0,30.0,1.0,3.0,12.0,0.69697,124.0,1.0,1.0,0.0,0.277778,1.0,1.0,9.083333,7.0,1.4167,0
2.0,4.0,0.0,5.0,10.0,1.0,0.0,5.0,2.0,2.0,34.0,0.0,0.0,0.982456,0.75,0.0,0.0,16.0,1.0,0.5,0
2.0,2.0,0.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,11.0,0.0,0.0,0.9375,0.75,1.0,1.0,4.5,1.0,0.5,0
3.0,1.0,0.0,6.0,3.0,3.0,6.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,0
5.0,1.0,0.0,6.0,24.0,8.0,2.0,4.0,4.0,0.875,118.0,0.5,0.0,0.0,0.416667,0.0,0.0,21.8,2.0,1.0,0
3.0,1.0,0.0,7.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.0,1.0,1.0,0
2.0,2.0,0.0,3.0,6.0,1.0,2.0,1.0,2.0,2.0,21.0,0.0,0.0,0.9375,0.75,1.0,1.0,9.5,3.0,1.5,0
7.0,1.0,0.0,3.0,11.0,17.0,0.0,3.0,6.0,0.666667,61.0,1.0,0.0,0.0,0.541667,0.0,0.0,7.428571,1.0,0.7143,0
2.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
7.0,1.0,0.0,1.0,11.0,15.0,0.0,1.0,6.0,0.833333,57.0,1.0,0.0,0.0,0.428571,0.0,0.0,6.714286,3.0,1.1429,0
28.0,1.0,0.0,25.0,92.0,238.0,0.0,25.0,27.0,0.920988,487.0,0.933333,7.0,0.0,0.140741,0.0,0.0,15.857143,5.0,1.25,0
26.0,1.0,0.0,8.0,33.0,285.0,5.0,3.0,26.0,0.956667,172.0,1.0,4.0,0.0,0.132867,1.0,1.0,5.153846,6.0,1.1923,0
25.0,1.0,0.0,26.0,99.0,222.0,0.0,26.0,22.0,0.936111,653.0,1.0,6.0,0.0,0.127451,0.0,0.0,24.52,7.0,1.88,0
18.0,1.0,0.0,22.0,92.0,0.0,8.0,14.0,17.0,0.909502,643.0,1.0,0.0,0.0,0.303922,0.0,0.0,34.0,9.0,3.9444,0
3.0,1.0,0.0,6.0,22.0,3.0,1.0,5.0,3.0,2.0,129.0,0.0,0.0,0.0,0.5,0.0,0.0,42.0,17.0,6.0,0
9.0,1.0,0.0,8.0,33.0,0.0,0.0,8.0,8.0,0.5,362.0,1.0,3.0,0.0,0.375,0.0,0.0,38.777778,1.0,0.7778,0
8.0,1.0,0.0,5.0,15.0,6.0,4.0,1.0,8.0,0.809524,71.0,1.0,1.0,0.0,0.34375,1.0,1.0,7.5,6.0,1.5,0
31.0,1.0,0.0,11.0,35.0,427.0,9.0,2.0,31.0,0.977778,206.0,0.833333,4.0,0.0,0.148387,1.0,1.0,5.064516,7.0,1.1935,0
7.0,1.0,0.0,2.0,20.0,0.0,1.0,1.0,7.0,0.611111,96.0,1.0,0.0,0.0,0.392857,0.0,0.0,12.285714,3.0,1.1429,0
2.0,4.0,0.0,5.0,10.0,1.0,0.0,5.0,2.0,2.0,35.0,0.0,0.0,0.982456,0.75,0.0,0.0,16.5,1.0,0.5,0
2.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,10.0,1.0,1.0,0.0,0.75,0.0,0.0,3.5,1.0,0.5,0
4.0,1.0,0.0,2.0,4.0,6.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.0,1.0,0
21.0,1.0,0.0,3.0,24.0,184.0,3.0,0.0,21.0,0.95,113.0,1.0,0.0,0.0,0.357143,0.0,0.0,3.904762,1.0,0.9524,0
3.0,1.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
16.0,4.0,0.0,21.0,56.0,78.0,0.0,21.0,14.0,2.0,565.0,0.0,0.0,0.788732,0.3125,0.0,0.0,34.3125,5.0,2.125,0
26.0,1.0,0.0,11.0,65.0,0.0,0.0,11.0,24.0,0.56,669.0,1.0,2.0,0.0,0.302222,0.0,0.0,24.615385,1.0,0.9231,0
5.0,1.0,0.0,5.0,10.0,4.0,0.0,5.0,4.0,0.75,29.0,1.0,1.0,0.0,0.4375,0.0,0.0,4.4,1.0,0.6,0
2.0,4.0,0.0,12.0,14.0,1.0,0.0,12.0,2.0,2.0,31.0,0.0,0.0,0.982456,0.75,0.0,0.0,14.5,1.0,0.5,0
10.0,1.0,0.0,7.0,28.0,13.0,0.0,7.0,9.0,0.777778,121.0,1.0,2.0,0.0,0.31746,0.0,0.0,10.6,1.0,0.8,0
5.0,1.0,0.0,3.0,5.0,10.0,3.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.533333,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16.0,1.0,0.0,5.0,24.0,86.0,3.0,2.0,16.0,0.914286,126.0,1.0,2.0,0.0,0.179688,1.0,1.0,6.4375,6.0,1.3125,0
5.0,1.0,0.0,7.0,16.0,6.0,4.0,3.0,5.0,0.75,79.0,1.0,0.0,0.0,0.333333,0.0,0.0,14.4,7.0,2.0,0
6.0,1.0,0.0,8.0,6.0,15.0,3.0,5.0,6.0,2.0,6.0,0.0,0.0,0.0,0.452381,0.0,0.0,0.0,1.0,1.0,0
4.0,1.0,0.0,11.0,17.0,4.0,2.0,9.0,4.0,0.666667,74.0,1.0,1.0,0.0,0.5,0.0,0.0,17.25,6.0,2.0,0
3.0,1.0,0.0,2.0,19.0,1.0,0.0,2.0,3.0,1.0,74.0,0.5,0.0,0.0,0.5,0.0,0.0,23.0,1.0,0.6667,0
23.0,1.0,0.0,5.0,24.0,231.0,5.0,0.0,23.0,0.954545,114.0,1.0,0.0,0.0,0.295652,0.0,0.0,3.478261,1.0,0.9565,0
1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0
5.0,1.0,0.0,4.0,13.0,0.0,3.0,1.0,5.0,0.0,38.0,1.0,0.0,0.0,0.533333,0.0,0.0,6.4,1.0,0.8,0
19.0,1.0,0.0,1.0,23.0,149.0,0.0,1.0,18.0,0.944444,177.0,1.0,0.0,0.0,0.473684,0.0,0.0,7.736842,3.0,1.4737,0
13.0,1.0,0.0,6.0,14.0,42.0,5.0,1.0,13.0,0.833333,82.0,1.0,1.0,0.0,0.353846,0.0,0.0,4.846154,1.0,0.9231,0
5.0,1.0,0.0,5.0,18.0,6.0,0.0,5.0,4.0,0.5,73.0,1.0,1.0,0.0,0.583333,0.0,0.0,13.2,1.0,0.6,0
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
10.0,1.0,0.0,6.0,18.0,33.0,0.0,6.0,9.0,0.904762,93.0,1.0,3.0,0.0,0.269841,0.0,0.0,7.6,1.0,0.8,0
6.0,1.0,0.0,5.0,15.0,9.0,0.0,5.0,5.0,0.2,87.0,1.0,1.0,0.0,0.5,0.0,0.0,13.333333,4.0,1.6667,0
13.0,3.0,0.0,7.0,32.0,40.0,0.0,7.0,11.0,0.864583,186.0,1.0,1.0,0.657143,0.461538,2.0,2.0,12.692308,4.0,1.1538,0
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,1.0,0.0,3.0,14.0,0.0,1.0,2.0,8.0,0.666667,122.0,1.0,2.0,0.0,0.40625,1.0,1.0,13.875,10.0,2.125,0
7.0,1.0,0.0,4.0,12.0,1.0,3.0,1.0,7.0,0.444444,85.0,1.0,0.0,0.0,0.571429,0.0,0.0,10.714286,4.0,1.1429,0
0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,2.0,0.0,2.0,11.0,4.0,0.0,2.0,4.0,0.666667,51.0,1.0,0.0,0.8125,0.4375,1.0,1.0,11.5,4.0,1.5,0
2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
6.0,4.0,0.0,7.0,23.0,13.0,0.0,7.0,6.0,0.8,164.0,1.0,0.0,0.918033,0.388889,1.0,2.0,26.166667,3.0,1.1667,0
24.0,1.0,0.0,9.0,33.0,238.0,7.0,2.0,24.0,0.966555,166.0,0.846154,2.0,0.0,0.182292,1.0,1.0,5.375,6.0,1.2083,0
11.0,1.0,0.0,6.0,44.0,53.0,0.0,6.0,11.0,0.9,180.0,1.0,0.0,0.0,0.545455,0.0,0.0,15.272727,6.0,2.0909,0
1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
7.0,1.0,0.0,7.0,16.0,15.0,0.0,7.0,6.0,0.9,92.0,1.0,2.0,0.0,0.366667,0.0,0.0,11.428571,2.0,0.8571,0
11.0,1.0,0.0,4.0,15.0,37.0,4.0,0.0,11.0,0.9,103.0,1.0,0.0,0.0,0.290909,1.0,1.0,7.909091,7.0,1.5455,0
2.0,1.0,0.0,1.0,8.0,1.0,1.0,0.0,2.0,2.0,32.0,0.0,0.0,0.0,0.5,0.0,0.0,15.0,2.0,1.0,0
43.0,1.0,0.0,22.0,110.0,563.0,0.0,22.0,40.0,0.931677,1202.0,1.0,9.0,0.0,0.131579,0.0,0.0,26.418605,2.0,1.093,0
4.0,3.0,1.0,1.0,8.0,6.0,1.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,0
3.0,2.0,0.0,2.0,12.0,3.0,1.0,1.0,3.0,2.0,33.0,0.0,0.0,0.882353,0.555556,1.0,1.0,10.0,1.0,0.6667,0
6.0,4.0,0.0,13.0,30.0,9.0,0.0,13.0,2.0,0.8,131.0,1.0,1.0,0.936508,0.466667,1.0,3.0,20.166667,1.0,0.6667,0
18.0,1.0,0.0,11.0,46.0,79.0,0.0,11.0,18.0,0.847059,174.0,1.0,4.0,0.0,0.194444,0.0,0.0,8.388889,3.0,1.1111,0
5.0,1.0,0.0,3.0,10.0,8.0,1.0,3.0,3.0,0.75,26.0,1.0,0.0,0.0,0.5,0.0,0.0,4.0,1.0,0.6,0
20.0,1.0,0.0,19.0,68.0,70.0,0.0,19.0,16.0,0.836842,562.0,1.0,8.0,0.0,0.148607,0.0,0.0,26.6,1.0,0.9,0
3.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,0.5,14.0,1.0,0.0,0.0,0.666667,0.0,0.0,3.333333,1.0,0.6667,0
41.0,1.0,0.0,36.0,166.0,490.0,0.0,36.0,37.0,0.915476,2090.0,1.0,9.0,0.0,0.126389,0.0,0.0,49.463415,7.0,1.7073,0
20.0,1.0,0.0,9.0,20.0,190.0,4.0,5.0,20.0,2.0,20.0,0.0,0.0,0.0,0.407143,0.0,0.0,0.0,1.0,1.0,0
3.0,1.0,0.0,4.0,10.0,3.0,0.0,4.0,3.0,2.0,27.0,0.0,0.0,0.0,0.833333,0.0,0.0,8.0,1.0,0.6667,0
14.0,1.0,0.0,15.0,21.0,63.0,14.0,1.0,14.0,0.910256,112.0,1.0,1.0,0.0,0.285714,1.0,1.0,6.571429,6.0,1.3571,0
7.0,1.0,0.0,11.0,33.0,9.0,0.0,11.0,7.0,0.791667,194.0,1.0,2.0,0.0,0.25,0.0,0.0,26.142857,16.0,3.0,0
7.0,1.0,0.0,1.0,11.0,7.0,1.0,0.0,7.0,0.833333,83.0,1.0,0.0,0.0,0.357143,1.0,1.0,10.428571,7.0,1.8571,0
15.0,1.0,0.0,2.0,19.0,83.0,0.0,2.0,15.0,0.928571,123.0,1.0,2.0,0.0,0.209524,1.0,1.0,6.733333,7.0,1.4,0
3.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,0
1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
8.0,1.0,0.0,2.0,26.0,20.0,0.0,2.0,7.0,1.0,127.0,0.285714,0.0,0.0,0.452381,0.0,0.0,14.0,4.0,1.25,0
13.0,1.0,0.0,5.0,19.0,58.0,4.0,1.0,13.0,0.916667,84.0,1.0,2.0,0.0,0.230769,1.0,1.0,5.0,2.0,1.0,0
13.0,1.0,0.0,24.0,13.0,78.0,19.0,5.0,13.0,2.0,13.0,0.0,0.0,0.0,0.32967,0.0,0.0,0.0,1.0,1.0,0
